Id,Neighborhood,OverallQual,GrLivArea,YearBuilt,actual_price,pred_price,rel_error,abs_rel_error,valuation_flag
29,NAmes,5,1600,1957,207500.0000000001,189918.00761433973,0.09257675249712777,0.09257675249712777,Overpriced
30,BrkSide,4,520,1927,68499.99999999999,69692.87080194317,-0.017116109412871543,0.017116109412871543,Underpriced
31,IDOTRR,4,1317,1920,40000.0,91031.16427384125,-0.5605900427718201,0.5605900427718201,Underpriced
32,Sawyer,5,1228,1966,149349.99999999994,137589.0399107375,0.08547890222137235,0.08547890222137235,Overpriced
33,CollgCr,8,1234,2007,179900.00000000006,194056.38776762865,-0.07294986746110131,0.07294986746110131,Underpriced
34,NAmes,5,1700,1959,165499.99999999988,174796.44591090817,-0.053184410372088334,0.053184410372088334,Underpriced
35,NridgHt,9,1561,2005,277500.0000000001,283128.03630739823,-0.019878060755832858,0.019878060755832858,Underpriced
36,NridgHt,8,2452,2004,309000.00000000006,309225.2229210415,-0.0007283458927247071,0.0007283458927247071,Underpriced
37,CollgCr,5,1097,1994,145000.00000000012,147603.40676372137,-0.017637850106594792,0.017637850106594792,Underpriced
38,NAmes,5,1297,1954,152999.9999999999,152058.21944017094,0.006193552464946001,0.006193552464946001,Overpriced
39,NAmes,5,1057,1953,109000.0,137094.31012879632,-0.20492688647984364,0.20492688647984364,Underpriced
40,Edwards,4,1152,1955,82000.0,99822.22599105629,-0.17853965701639526,0.17853965701639526,Underpriced
41,NAmes,6,1324,1965,159999.99999999997,145285.42662464725,0.10128044991992632,0.10128044991992632,Overpriced
42,Timber,5,1328,1959,170000.00000000012,165400.83858097365,0.027806155388836802,0.027806155388836802,Overpriced
43,SawyerW,5,884,1983,144000.0,144173.87284221954,-0.001205994115243225,0.001205994115243225,Underpriced
44,CollgCr,5,938,1975,130249.9999999999,129974.30853589215,0.002121122760438567,0.002121122760438567,Overpriced
45,NAmes,5,1150,1959,140999.99999999994,145331.3469196613,-0.029803253127872773,0.029803253127872773,Underpriced
46,NridgHt,9,1752,2005,319899.99999999994,262250.4615826007,0.219826261008282,0.219826261008282,Overpriced
47,Mitchel,7,2149,2003,239685.99999999997,292992.83641283,-0.18193904351204043,0.18193904351204043,Underpriced
48,Somerst,8,1656,2006,249700.00000000017,252564.21467002906,-0.01134054036028396,0.01134054036028396,Underpriced
49,OldTown,4,1452,1920,112999.99999999993,106552.36014792738,0.060511469132370654,0.060511469132370654,Overpriced
50,Sawyer,5,955,1966,126999.99999999991,126766.87815267233,0.0018389807394863732,0.0018389807394863732,Overpriced
51,Gilbert,6,1470,1997,177000.00000000006,171710.0833712431,0.030807256771985758,0.030807256771985758,Overpriced
52,BrkSide,6,1176,1934,114499.99999999991,122283.2633260788,-0.06364945712418671,0.06364945712418671,Underpriced
53,IDOTRR,5,816,1963,109999.99999999991,98020.02234347552,0.12221969930332112,0.12221969930332112,Overpriced
54,Veenker,9,1842,1981,385000.00000000023,373241.4385884875,0.03150390121734841,0.03150390121734841,Overpriced
55,NAmes,5,1360,1955,130000.00000000009,124956.51063121238,0.0403619574787319,0.0403619574787319,Overpriced
56,NAmes,6,1425,1964,180500.0,164098.77833643503,0.09994725024667284,0.09994725024667284,Overpriced
57,Somerst,8,1739,1999,172499.99999999985,209457.85692928202,-0.1764453120598862,0.1764453120598862,Underpriced
58,CollgCr,7,1720,2004,196499.99999999997,193474.93919919487,0.015635414143692333,0.015635414143692333,Overpriced
59,StoneBr,10,2945,2006,438779.9999999998,404361.45839032956,0.08511825470875144,0.08511825470875144,Overpriced
60,CollgCr,5,780,1972,124899.99999999993,117996.53791510143,0.05850563251157027,0.05850563251157027,Overpriced
61,SawyerW,6,1158,2004,157999.99999999997,165823.05551599013,-0.04717712800338423,0.04717712800338423,Underpriced
62,IDOTRR,5,1111,1920,101000.00000000003,99605.10076476293,0.014004295207043946,0.014004295207043946,Overpriced
63,NridgHt,8,1370,2006,202500.00000000012,203471.319433741,-0.004773741264587398,0.004773741264587398,Underpriced
64,OldTown,7,1710,1921,139999.9999999999,124753.36259739366,0.12221424004265506,0.12221424004265506,Overpriced
65,CollgCr,7,2034,1997,219500.00000000012,239627.91000587432,-0.08399651779035582,0.08399651779035582,Underpriced
66,NridgHt,8,2473,2004,316999.9999999999,311603.5242376212,0.017318404134169667,0.017318404134169667,Overpriced
67,NAmes,7,2207,1970,180000.00000000003,264669.7871114165,-0.3199072626894642,0.3199072626894642,Underpriced
68,CollgCr,7,1479,2003,225999.9999999998,206733.47711349645,0.09319498300667599,0.09319498300667599,Overpriced
69,OldTown,4,747,1945,80000.0,80874.05873074227,-0.010807652595405313,0.010807652595405313,Underpriced
70,ClearCr,7,2287,1953,225000.00000000015,221900.08784780107,0.013969855452807534,0.013969855452807534,Overpriced
71,NAmes,7,2223,1973,244000.00000000003,300891.15715229965,-0.18907553711690997,0.18907553711690997,Underpriced
72,Mitchel,4,845,1982,129500.00000000006,125884.52158624936,0.028720595417074855,0.028720595417074855,Overpriced
73,Gilbert,7,1718,1998,185000.00000000006,197076.38084086962,-0.06127766701084642,0.06127766701084642,Underpriced
74,NAmes,5,1086,1954,144900.00000000012,143404.34102772232,0.010429663157746853,0.010429663157746853,Overpriced
75,OldTown,3,1605,1915,107400.00000000001,107715.1312945479,-0.00292559913134355,0.00292559913134355,Underpriced
76,MeadowV,4,988,1973,90999.99999999991,85705.86433846502,0.061770985012502465,0.061770985012502465,Overpriced
77,NAmes,4,952,1956,135750.00000000012,120829.12838776688,0.12348737271652684,0.12348737271652684,Overpriced
78,BrkSide,5,1285,1948,126999.99999999991,120106.15474793076,0.057397934906311864,0.057397934906311864,Overpriced
79,Sawyer,4,1768,1968,136500.00000000006,119009.96870395112,0.14696274174776983,0.14696274174776983,Overpriced
80,OldTown,5,1230,1910,109999.99999999991,116370.85146397325,-0.05474611024862749,0.05474611024862749,Underpriced
81,NAmes,6,2142,1968,193499.99999999985,197538.0398851602,-0.020441834329772,0.020441834329772,Underpriced
82,Mitchel,6,1337,1998,153500.0,174530.6304541406,-0.12049822085336806,0.12049822085336806,Underpriced
83,Somerst,8,1563,2007,244999.99999999997,247445.06064075834,-0.009881226298988919,0.009881226298988919,Underpriced
84,NAmes,5,1065,1960,126500.00000000006,128960.43630970294,-0.019079001127090333,0.019079001127090333,Underpriced
85,Gilbert,7,1474,1995,168500.0,167576.80148506354,0.005509106909519032,0.005509106909519032,Overpriced
86,NoRidge,8,2417,1991,259999.9999999998,273650.0191074874,-0.049881301496003165,0.049881301496003165,Underpriced
87,Gilbert,6,1560,2005,173999.99999999997,184299.89620466687,-0.05588660881951212,0.05588660881951212,Underpriced
88,Somerst,6,1224,2009,164500.00000000012,154054.38807675525,0.0678047023109819,0.0678047023109819,Overpriced
89,IDOTRR,3,1526,1915,84999.99999999996,50078.004938811835,0.6973519632792442,0.6973519632792442,Overpriced
90,CollgCr,4,990,1994,123600.00000000003,117726.38267373934,0.04989210738376734,0.04989210738376734,Overpriced
91,NAmes,4,1040,1950,109900.00000000003,97582.50306827457,0.12622649086084006,0.12622649086084006,Overpriced
92,NAmes,5,1235,1961,98600.00000000003,125506.69792495552,-0.2143845577153489,0.2143845577153489,Underpriced
93,Crawfor,5,964,1921,163499.99999999988,143207.2676667613,0.14170183304145653,0.14170183304145653,Overpriced
94,OldTown,6,2291,1910,133899.99999999997,177663.15608689046,-0.24632657130940003,0.24632657130940003,Underpriced
95,CollgCr,6,1786,1997,204750.00000000006,200439.0958380776,0.02150730197568329,0.02150730197568329,Overpriced
96,Gilbert,6,1470,1993,185000.00000000006,181493.9045913083,0.019317978841145438,0.019317978841145438,Overpriced
97,CollgCr,7,1588,1999,214000.00000000017,229120.27442061293,-0.0659927387868581,0.0659927387868581,Underpriced
98,Edwards,4,960,1965,94749.99999999994,119750.10257688085,-0.20876894498550072,0.20876894498550072,Underpriced
99,Edwards,5,835,1920,83000.0,71440.6975255939,0.16180276613711578,0.16180276613711578,Overpriced
100,NAmes,4,1225,1959,128950.00000000006,120303.37319358121,0.07187351922797282,0.07187351922797282,Overpriced
101,NWAmes,6,1610,1977,205000.0,215992.0383657515,-0.050890942318614844,0.050890942318614844,Underpriced
102,SawyerW,6,1732,1985,177999.99999999994,174890.31717385183,0.01778076040114271,0.01778076040114271,Overpriced
103,SawyerW,5,1535,1979,118964.0000000001,125398.91800459493,-0.05131557837172916,0.05131557837172916,Underpriced
104,CollgCr,7,1226,2009,198899.99999999997,202471.0050758644,-0.01763711833467911,0.01763711833467911,Underpriced
105,IDOTRR,7,1818,1931,169499.99999999985,159052.20861439782,0.0656878107925643,0.0656878107925643,Overpriced
106,Somerst,8,1992,2003,249999.9999999998,250432.2307985924,-0.0017259391780933885,0.0017259391780933885,Underpriced
107,OldTown,4,1047,1885,100000.00000000004,99882.22927934196,0.001179095836244411,0.001179095836244411,Overpriced
108,OldTown,5,789,1948,114999.99999999991,98867.09414333841,0.1631777083816367,0.1631777083816367,Overpriced
109,IDOTRR,5,1517,1919,114999.99999999991,127198.52029647093,-0.09590143240691033,0.09590143240691033,Underpriced
110,NWAmes,6,1844,1977,189999.9999999999,201084.73441389087,-0.055124693807314815,0.055124693807314815,Underpriced
111,Edwards,6,1855,1954,136900.0000000001,131067.45242561048,0.04450035051760825,0.04450035051760825,Overpriced
112,Gilbert,7,1430,2000,180000.00000000003,177115.95396758267,0.016283378023332813,0.016283378023332813,Overpriced
113,CollgCr,7,2696,2007,383970.0000000003,338380.1838788945,0.13472956837632755,0.13472956837632755,Overpriced
114,Crawfor,6,2259,1953,217000.00000000012,191599.81079794638,0.1325689680812878,0.1325689680812878,Overpriced
115,Crawfor,6,2320,1945,259499.99999999985,207917.99231280948,0.24808823475741348,0.24808823475741348,Overpriced
116,Somerst,6,1458,1999,176000.00000000006,166769.00658083416,0.055351972218480344,0.055351972218480344,Overpriced
117,Sawyer,5,1092,1962,139000.00000000003,120125.86269628453,0.1571196816412064,0.1571196816412064,Overpriced
118,Edwards,5,1125,2006,155000.00000000012,133817.6832600513,0.15829235885652482,0.15829235885652482,Overpriced
119,SawyerW,7,3222,1990,320000.00000000006,312018.9392603193,0.02557877018171044,0.02557877018171044,Overpriced
120,CollgCr,6,1456,2005,163990.00000000015,179145.0710184299,-0.0845966396522886,0.0845966396522886,Underpriced
121,ClearCr,6,988,1969,180000.00000000003,163876.3341773897,0.09838922687370515,0.09838922687370515,Overpriced
122,IDOTRR,4,1123,1939,100000.00000000004,84981.49846908625,0.17672672053878977,0.17672672053878977,Overpriced
123,NAmes,6,1080,1958,135999.99999999997,137724.54760106586,-0.012521715490118938,0.012521715490118938,Underpriced
124,SawyerW,6,1199,1993,153899.99999999988,163915.38823269957,-0.0611009639832077,0.0611009639832077,Underpriced
125,NWAmes,6,1586,1979,181000.00000000006,172618.47970160336,0.04855517388917689,0.04855517388917689,Overpriced
126,IDOTRR,6,754,1935,84499.99999999994,82756.8550207032,0.021063451225408047,0.021063451225408047,Overpriced
127,NPkVill,6,958,1976,127999.99999999997,135412.70431627834,-0.05474157209773164,0.05474157209773164,Underpriced
128,OldTown,5,840,1930,86999.99999999994,84945.29558481257,0.024188560426349644,0.024188560426349644,Overpriced
129,NAmes,6,1348,1966,155000.00000000012,148494.22230837072,0.04381165536608666,0.04381165536608666,Overpriced
130,NAmes,5,1053,1958,150000.00000000006,140378.460203162,0.06854000095821929,0.06854000095821929,Overpriced
131,NAmes,7,2157,1966,225999.9999999998,231582.15378624081,-0.024104421238752102,0.024104421238752102,Underpriced
132,Gilbert,6,2054,2000,244000.00000000003,213107.64004619635,0.14496129724446763,0.14496129724446763,Overpriced
133,NAmes,5,1327,1959,150750.0,149376.19619996383,0.009196939237876395,0.009196939237876395,Overpriced
134,Timber,8,1296,2001,219999.99999999983,205863.03596686342,0.06867169701806958,0.06867169701806958,Overpriced
135,Sawyer,5,1721,1968,180000.00000000003,171972.98845437678,0.04667600195685821,0.04667600195685821,Overpriced
136,NWAmes,7,1682,1970,173999.99999999997,171559.21941130076,0.014227044148805665,0.014227044148805665,Overpriced
137,NAmes,5,1214,1967,143000.0000000001,143107.011192474,-0.0007477704382350401,0.0007477704382350401,Underpriced
138,Mitchel,7,1959,1988,171000.00000000012,224576.55344381274,-0.23856699473846474,0.23856699473846474,Underpriced
139,CollgCr,8,1852,1999,230000.0000000001,247811.16545933788,-0.07187394250910109,0.07187394250910109,Underpriced
140,CollgCr,6,1764,1997,231500.00000000006,203842.2331149325,0.13568222081570935,0.13568222081570935,Overpriced
141,NAmes,4,864,1971,114999.99999999991,105927.7146720102,0.08564600261679131,0.08564600261679131,Overpriced
142,CollgCr,7,1734,2005,259999.9999999998,246596.52475390697,0.05435386917747092,0.05435386917747092,Overpriced
143,NAmes,5,1385,1952,166000.00000000003,118711.25296600322,0.3983510059281361,0.3983510059281361,Overpriced
144,CollgCr,7,1501,1999,203999.99999999985,219355.03530099802,-0.07000083348863202,0.07000083348863202,Underpriced
145,Sawyer,5,1728,1963,124999.9999999999,124888.0643282178,0.000896287987040253,0.000896287987040253,Overpriced
146,Edwards,6,1709,2004,130000.00000000009,126006.87193909007,0.03168976421254424,0.03168976421254424,Overpriced
147,BrkSide,5,875,1931,104999.99999999997,102789.85420375044,0.021501594815657332,0.021501594815657332,Overpriced
148,Gilbert,7,2035,2001,222499.99999999988,228915.66394619306,-0.028026321290539506,0.028026321290539506,Underpriced
149,SawyerW,7,1080,2004,140999.99999999994,156408.62753776382,-0.09851520200855653,0.09851520200855653,Underpriced
150,BrkSide,5,1344,1936,114999.99999999991,101627.35957549018,0.1315850424567644,0.1315850424567644,Overpriced
151,CollgCr,5,969,1975,122000.00000000003,137912.3813472613,-0.11538036825855501,0.11538036825855501,Underpriced
152,NridgHt,8,1710,2007,372401.9999999999,307083.34989265347,0.21270658318068933,0.21270658318068933,Overpriced
153,NWAmes,6,1993,1971,189999.9999999999,186876.30387876078,0.016715314121718096,0.016715314121718096,Overpriced
154,ClearCr,6,1252,1960,235000.0,188036.23657796104,0.24975911173678206,0.24975911173678206,Overpriced
155,OldTown,6,1200,1923,124999.9999999999,112332.39363932365,0.11276895248354933,0.11276895248354933,Overpriced
156,Edwards,6,1096,1924,79000.00000000006,81236.27340297113,-0.027528015617827205,0.027528015617827205,Underpriced
157,NAmes,5,1040,1950,109499.99999999991,109995.2826523312,-0.0045027626675296015,0.0045027626675296015,Underpriced
158,Timber,8,1968,2009,269499.9999999999,292341.4116430427,-0.0781326583690881,0.0781326583690881,Underpriced
159,Somerst,7,1947,2004,254900.0000000001,231326.72434025115,0.10190467931009886,0.10190467931009886,Overpriced
160,Gilbert,7,2462,2005,320000.00000000006,297864.96648778627,0.07431230927629558,0.07431230927629558,Overpriced
161,Veenker,6,1232,1984,162500.00000000012,153463.64067228817,0.05888273787931645,0.05888273787931645,Overpriced
162,NridgHt,9,2668,2003,412500.00000000006,390881.6784728803,0.055306561339941857,0.055306561339941857,Overpriced
163,NridgHt,7,1541,2005,219999.99999999983,251212.98336532435,-0.12424908516743863,0.12424908516743863,Underpriced
164,OldTown,4,882,1956,103200.00000000009,97323.59998084008,0.060380010812556076,0.060380010812556076,Overpriced
165,OldTown,6,1616,1926,152000.00000000006,147173.62026237257,0.032793782805799705,0.032793782805799705,Overpriced
166,Edwards,5,1355,1940,127500.00000000001,115717.70079384038,0.10181933382128518,0.10181933382128518,Overpriced
167,ClearCr,5,1867,1955,189999.9999999999,170586.45021605847,0.1138047585804908,0.1138047585804908,Overpriced
168,NridgHt,8,2161,2007,325623.9999999999,344130.51048550656,-0.05377759286555935,0.05377759286555935,Underpriced
169,Gilbert,7,1720,2004,183500.00000000006,190161.30556895636,-0.03502976354219854,0.03502976354219854,Underpriced
170,Timber,8,1707,1981,228000.00000000003,247299.49418110691,-0.07804097717633472,0.07804097717633472,Underpriced
171,OldTown,5,1382,1941,128500.00000000004,128797.28070801376,-0.0023081287615664453,0.0023081287615664453,Underpriced
172,NAmes,6,1656,1960,215000.0,191968.30090747087,0.1199765741721622,0.1199765741721622,Overpriced
173,StoneBr,7,1767,1987,239000.00000000003,187772.65211049683,0.27281580844561926,0.27281580844561926,Overpriced
174,NAmes,6,1362,1961,162999.99999999988,149362.22179544513,0.0913067443736341,0.0913067443736341,Overpriced
175,Timber,6,1651,1986,184000.00000000015,191733.05950771383,-0.040332426382642506,0.040332426382642506,Underpriced
176,Edwards,6,2158,1950,243000.00000000003,214868.83863104685,0.13092248065461667,0.13092248065461667,Overpriced
177,ClearCr,6,2060,1988,210999.99999999994,198924.04746352552,0.0607063484302402,0.0607063484302402,Overpriced
178,Sawyer,5,1920,1958,172499.99999999985,158552.30845541813,0.08796902221391215,0.08796902221391215,Overpriced
179,StoneBr,9,2234,2008,501837.00000000023,461332.9468372399,0.08779787665382227,0.08779787665382227,Overpriced
180,OldTown,5,968,1923,100000.00000000004,124775.46966428954,-0.19856042001643678,0.19856042001643678,Underpriced
181,Somerst,6,1525,2000,177000.00000000006,174248.61832299357,0.01578997700806113,0.01578997700806113,Overpriced
182,Crawfor,7,1802,1920,200100.00000000017,175449.35670901963,0.14050004943513872,0.14050004943513872,Overpriced
183,Edwards,5,1340,1957,120000.00000000004,114864.3536192813,0.04471053219644516,0.04471053219644516,Overpriced
184,OldTown,7,2082,2003,199999.99999999997,218003.10071475673,-0.0825818562017275,0.0825818562017275,Underpriced
185,BrkSide,5,1252,1908,126999.99999999991,112549.25779508548,0.12839482452407106,0.12839482452407106,Overpriced
186,OldTown,10,3608,1892,474999.99999999977,411338.13397298264,0.15476772214656503,0.15476772214656503,Overpriced
187,Mitchel,7,1217,1990,172999.9999999999,180058.66423328442,-0.039202024869735154,0.039202024869735154,Underpriced
188,OldTown,5,1656,1916,134999.99999999997,136926.61024270905,-0.014070385875280714,0.014070385875280714,Underpriced
189,SawyerW,5,1224,1979,153337.00000000003,140554.9493550636,0.09093988296809795,0.09093988296809795,Overpriced
190,StoneBr,8,1593,2001,286000.00000000023,277371.01585648087,0.031109898476141547,0.031109898476141547,Overpriced
191,Crawfor,8,2727,1932,315000.0000000002,306100.637551531,0.029073322158536752,0.029073322158536752,Overpriced
192,NAmes,7,1479,1972,184000.00000000015,180079.69447670408,0.021769836597558254,0.021769836597558254,Overpriced
193,CollgCr,7,1431,1999,191999.99999999997,197059.01898988304,-0.02567260821562702,0.02567260821562702,Underpriced
194,Edwards,7,1709,2004,130000.00000000009,142591.59608912645,-0.08830531696451471,0.08830531696451471,Underpriced
195,CollgCr,5,864,1972,126999.99999999991,121475.08954924771,0.04548183887950395,0.04548183887950395,Overpriced
196,NPkVill,6,1456,1976,148499.99999999988,149287.90334034123,-0.0052777440282292315,0.0052777440282292315,Underpriced
197,Somerst,7,1726,2007,311872.00000000006,281337.7000842015,0.10853255680507776,0.10853255680507776,Overpriced
198,NAmes,8,3112,1918,235000.0,278139.6023513071,-0.15510053939323315,0.15510053939323315,Underpriced
199,OldTown,6,2229,1912,104000.00000000003,110958.54049899595,-0.06271297790780592,0.06271297790780592,Underpriced
200,NridgHt,8,1713,2004,274900.00000000006,295702.86912548,-0.07035058262032742,0.07035058262032742,Underpriced
201,Edwards,4,1121,2003,139999.9999999999,130868.84499977996,0.06977332916963777,0.06977332916963777,Overpriced
202,Mitchel,6,1279,1977,171500.0,158737.3613859224,0.080400974935252,0.080400974935252,Overpriced
203,OldTown,6,1310,1924,112000.00000000004,119916.16571312393,-0.06601416636403948,0.06601416636403948,Underpriced
204,CollgCr,6,848,2004,149000.0,143024.27004764922,0.041781230209110246,0.041781230209110246,Overpriced
205,OldTown,5,1284,1947,109999.99999999991,116310.6522155397,-0.05425687239587715,0.05425687239587715,Underpriced
206,Gilbert,7,1442,1990,180500.0,187133.01260869266,-0.0354454434106863,0.0354454434106863,Underpriced
207,Sawyer,5,1696,1962,143900.00000000003,131279.78609549953,0.09613219429928019,0.09613219429928019,Overpriced
208,NAmes,4,1100,1960,140999.99999999994,133659.20052277908,0.054921767065109706,0.054921767065109706,Overpriced
209,SawyerW,7,2062,1988,276999.9999999998,252393.25907882678,0.09749365340018028,0.09749365340018028,Overpriced
210,NAmes,6,1092,1964,145000.00000000012,150539.18952216918,-0.036795664569147526,0.036795664569147526,Underpriced
211,Edwards,5,864,1925,98000.00000000003,93045.51233271867,0.053248002435246425,0.053248002435246425,Overpriced
212,Edwards,6,1212,2009,186000.00000000012,168168.01044385528,0.10603675163355898,0.10603675163355898,Overpriced
213,Somerst,7,1852,2009,252678.00000000023,248296.21284240254,0.0176474184097962,0.0176474184097962,Overpriced
214,CollgCr,5,990,1995,156000.0,152505.02552072975,0.022917110222018155,0.022917110222018155,Overpriced
215,CollgCr,6,1392,1977,161750.00000000003,147199.91162958983,0.09884576837942458,0.09884576837942458,Overpriced
216,NAmes,5,1236,1957,134450.0,140530.4353725349,-0.043267747348936625,0.043267747348936625,Underpriced
217,CollgCr,7,1436,2004,210000.0,207888.4122390004,0.010157313427224568,0.010157313427224568,Overpriced
218,OldTown,4,1328,1925,107000.00000000003,81603.15644961757,0.311223789070741,0.311223789070741,Overpriced
219,Crawfor,7,1954,1939,311500.0000000001,255139.31699869645,0.22090159864146544,0.22090159864146544,Overpriced
220,Blmngtn,7,1248,2005,167240.00000000015,178399.938860178,-0.06255573253825225,0.06255573253825225,Underpriced
221,CollgCr,7,1498,2006,204899.99999999985,213450.2688674247,-0.04005742842486397,0.04005742842486397,Underpriced
222,Gilbert,6,2267,2002,199999.99999999997,195393.84570724086,0.023573691771543923,0.023573691771543923,Overpriced
223,NWAmes,6,1552,1975,179900.00000000006,185936.4071808047,-0.032464901695851506,0.032464901695851506,Underpriced
224,NAmes,4,864,1971,96999.99999999999,120931.73105572339,-0.19789455461194091,0.19789455461194091,Underpriced
225,NridgHt,10,2392,2003,386250.0000000001,417652.6123369994,-0.07518835369252004,0.07518835369252004,Underpriced
226,BrDale,5,1302,1971,112000.00000000004,90523.01126242253,0.23725446643966136,0.23725446643966136,Overpriced
227,NoRidge,7,2520,1995,289999.9999999999,268421.8377933234,0.08038899660351415,0.08038899660351415,Overpriced
228,BrDale,6,987,1970,106000.00000000001,93193.60033105622,0.1374171576530039,0.1374171576530039,Overpriced
229,Sawyer,5,912,1967,124999.9999999999,119942.01130082809,0.04217028415911588,0.04217028415911588,Overpriced
230,Blmngtn,7,1555,2005,192499.99999999997,190503.15649169043,0.010481944473170132,0.010481944473170132,Overpriced
231,NAmes,6,1194,1959,148000.00000000015,135897.01253117184,0.08905999656211823,0.08905999656211823,Overpriced
232,NoRidge,8,2794,1995,402999.9999999999,382390.81459651346,0.053895607888051845,0.053895607888051845,Overpriced
233,BrDale,6,987,1972,94499.99999999996,88438.84031744138,0.06853504253111771,0.06853504253111771,Overpriced
234,CollgCr,5,894,1976,128199.99999999996,127495.1676309623,0.005528306540039306,0.005528306540039306,Overpriced
235,Gilbert,6,1960,2002,216500.00000000006,216381.42634251787,0.0005479844526696974,0.0005479844526696974,Overpriced
236,BrDale,6,987,1971,89500.00000000003,88968.42234638162,0.005974902550804111,0.005974902550804111,Overpriced
237,CollgCr,7,1414,2004,185499.99999999994,184279.40579943458,0.0066236061228340925,0.0066236061228340925,Overpriced
238,SawyerW,7,1744,1993,194500.0,213518.56142412563,-0.08907216917009775,0.08907216917009775,Underpriced
239,NridgHt,8,1694,2007,318000.0,259742.57272975327,0.22428909769389296,0.22428909769389296,Overpriced
240,Edwards,6,1487,1945,112999.99999999993,138081.59173810252,-0.1816432691888033,0.1816432691888033,Underpriced
241,Somerst,8,1566,2008,262500.00000000023,271080.6363325418,-0.031653446179813055,0.031653446179813055,Underpriced
242,OldTown,5,866,1945,110500.00000000001,100195.95006767593,0.10283898626006696,0.10283898626006696,Overpriced
243,OldTown,5,1440,1900,79000.00000000006,95334.36488631343,-0.17133763785799758,0.17133763785799758,Underpriced
244,SawyerW,6,1217,1980,120000.00000000004,135914.9336086661,-0.11709481207185973,0.11709481207185973,Underpriced
245,SawyerW,7,2110,1994,205000.0,238698.12913365744,-0.1411746680041568,0.1411746680041568,Underpriced
246,NWAmes,7,1872,1988,241500.0,227349.28636657755,0.06224217308782692,0.06224217308782692,Overpriced
247,OldTown,6,1928,1910,136999.9999999999,132198.81116256188,0.036317942613978,0.036317942613978,Overpriced
248,NAmes,6,1375,1954,139999.9999999999,148711.70037115406,-0.058581136181023556,0.058581136181023556,Underpriced
249,CollgCr,7,1668,2003,180000.00000000003,189360.83483763813,-0.04943384858682248,0.04943384858682248,Underpriced
